order_id,date,month,quarter,product,category,unit_price_ugx,quantity,gross_revenue_ugx,discount_pct,discount_amount_ugx,net_revenue_ugx,cost_ugx,profit_ugx,profit_margin_pct,region,sales_rep,payment_method,channel,status,customer_type
ORD-1003,1/4/2024,January,Q1,Ballpoint Pen Pack,Stationery,12000,8,96000,5,4800,91200,62136,29064,31.87,Gulu,Sarah Nakato,Bank Transfer,Agent,Completed,New
ORD-1144,1/4/2024,January,Q1,Filing Cabinet,Furniture,310000,9,2790000,0,0,2790000,1623861,1166139,41.8,Entebbe,Grace Nalwoga,Bank Transfer,Online,Completed,Returning
ORD-1327,1/6/2024,January,Q1,Wireless Mouse,Electronics,45000,1,45000,15,6750,38250,24043,14207,37.14,Wakiso,Lydia Atim,Cash,Phone Order,Refunded,Returning
ORD-1251,1/8/2024,January,Q1,Mechanical Keyboard,Electronics,180000,11,1980000,0,0,1980000,1463715,516285,26.07,Wakiso,Sarah Nakato,MTN MoMo,WhatsApp,Completed,Returning
ORD-1213,1/10/2024,January,Q1,Laptop Pro 15,Electronics,1200000,19,22800000,15,3420000,19380000,12026392,7353608,37.94,Entebbe,James Ssempa,Bank Transfer,Online,Pending,New
ORD-1236,1/12/2024,January,Q1,HDMI Cable 2m,Electronics,25000,15,375000,15,56250,318750,263145,55605,17.44,Entebbe,James Ssempa,MTN MoMo,Online,Refunded,New
ORD-1286,1/13/2024,January,Q1,Surge Protector,Electronics,65000,17,1105000,0,0,1105000,647785,457215,41.38,Entebbe,Brian Okello,Cash,WhatsApp,Completed,New
ORD-1106,1/15/2024,January,Q1,Thermal Printer,Electronics,480000,6,2880000,15,432000,2448000,1655610,792390,32.37,Kampala Central,James Ssempa,MTN MoMo,Agent,Completed,Returning
ORD-1184,1/16/2024,January,Q1,Notebook A4,Stationery,8000,17,136000,15,20400,115600,91086,24514,21.21,Wakiso,Peter Mugisha,Bank Transfer,Walk-in,Completed,New
ORD-1398,1/19/2024,January,Q1,Monitor 24inch,Electronics,750000,14,10500000,5,525000,9975000,6269214,3705786,37.15,Jinja,Grace Nalwoga,Flutterwave,Online,Completed,New
ORD-1119,1/20/2024,January,Q1,Printer Paper Ream,Stationery,18000,14,252000,0,0,252000,134792,117208,46.51,Mukono,Lydia Atim,MTN MoMo,Walk-in,Completed,Returning
ORD-1382,1/20/2024,January,Q1,Ballpoint Pen Pack,Stationery,12000,16,192000,10,19200,172800,125216,47584,27.54,Wakiso,James Ssempa,Bank Transfer,Online,Refunded,Returning
ORD-1039,1/21/2024,January,Q1,USB-C Hub,Electronics,120000,2,240000,0,0,240000,141878,98122,40.88,Mukono,Sarah Nakato,Airtel Money,Walk-in,Completed,Returning
ORD-1154,1/22/2024,January,Q1,HDMI Cable 2m,Electronics,25000,13,325000,5,16250,308750,209651,99099,32.1,Entebbe,Peter Mugisha,Airtel Money,Agent,Refunded,Returning
ORD-1128,1/23/2024,January,Q1,Thermal Printer,Electronics,480000,17,8160000,0,0,8160000,6008633,2151367,26.36,Mbarara,Grace Nalwoga,Flutterwave,Agent,Pending,New
ORD-1178,1/23/2024,January,Q1,Wireless Mouse,Electronics,45000,15,675000,0,0,675000,387015,287985,42.66,Gulu,Sarah Nakato,MTN MoMo,Agent,Completed,Returning
ORD-1172,1/25/2024,January,Q1,Filing Cabinet,Furniture,310000,10,3100000,0,0,3100000,1783390,1316610,42.47,Wakiso,Lydia Atim,Flutterwave,WhatsApp,Completed,New
ORD-1310,1/25/2024,January,Q1,Whiteboard 4x3,Furniture,220000,16,3520000,0,0,3520000,2546848,973152,27.65,Kampala Central,Brian Okello,Bank Transfer,Walk-in,Completed,New
ORD-1036,1/27/2024,January,Q1,HDMI Cable 2m,Electronics,25000,16,400000,0,0,400000,290528,109472,27.37,Kampala Central,Grace Nalwoga,Bank Transfer,Agent,Completed,New
ORD-1080,1/27/2024,January,Q1,Thermal Printer,Electronics,480000,16,7680000,5,384000,7296000,4494144,2801856,38.4,Mukono,Lydia Atim,MTN MoMo,Walk-in,Pending,Returning
ORD-1221,1/27/2024,January,Q1,Printer Paper Ream,Stationery,18000,17,306000,0,0,306000,201790,104210,34.06,Kampala Central,Lydia Atim,Cash,WhatsApp,Completed,New
ORD-1263,1/29/2024,January,Q1,Ballpoint Pen Pack,Stationery,12000,13,156000,5,7800,148200,99554,48646,32.82,Mbarara,Brian Okello,Airtel Money,Walk-in,Pending,Returning
ORD-1153,1/30/2024,January,Q1,Wireless Mouse,Electronics,45000,10,450000,5,22500,427500,275840,151660,35.48,Mukono,James Ssempa,MTN MoMo,Walk-in,Refunded,Returning
ORD-1026,1/31/2024,January,Q1,Thermal Printer,Electronics,480000,16,7680000,0,0,7680000,5500128,2179872,28.38,Wakiso,Lydia Atim,MTN MoMo,WhatsApp,Completed,Returning
ORD-1028,2/1/2024,February,Q1,Office Chair,Furniture,350000,2,700000,10,70000,630000,478754,151246,24.01,Mbarara,James Ssempa,MTN MoMo,Walk-in,Refunded,Returning
ORD-1058,2/1/2024,February,Q1,Ballpoint Pen Pack,Stationery,12000,11,132000,10,13200,118800,81367,37433,31.51,Wakiso,Lydia Atim,Bank Transfer,Phone Order,Completed,Returning
ORD-1214,2/1/2024,February,Q1,Ballpoint Pen Pack,Stationery,12000,17,204000,10,20400,183600,148937,34663,18.88,Mbarara,Sarah Nakato,Flutterwave,Online,Refunded,Returning
ORD-1339,2/1/2024,February,Q1,USB-C Hub,Electronics,120000,13,1560000,0,0,1560000,1010828,549172,35.2,Entebbe,Grace Nalwoga,Airtel Money,Online,Completed,Returning
ORD-1012,2/2/2024,February,Q1,Printer Paper Ream,Stationery,18000,6,108000,15,16200,91800,65394,26406,28.76,Entebbe,Lydia Atim,Flutterwave,WhatsApp,Refunded,Returning
ORD-1127,2/2/2024,February,Q1,USB-C Hub,Electronics,120000,14,1680000,10,168000,1512000,887726,624274,41.29,Entebbe,Lydia Atim,Cash,Phone Order,Refunded,New
ORD-1009,2/3/2024,February,Q1,Office Chair,Furniture,350000,2,700000,0,0,700000,420202,279798,39.97,Wakiso,Peter Mugisha,Cash,Online,Pending,Returning
ORD-1346,2/3/2024,February,Q1,Whiteboard 4x3,Furniture,220000,9,1980000,0,0,1980000,1000791,979209,49.45,Wakiso,Grace Nalwoga,Bank Transfer,Online,Completed,Returning
ORD-1176,2/4/2024,February,Q1,Notebook A4,Stationery,8000,9,72000,15,10800,61200,36288,24912,40.71,Mukono,Sarah Nakato,MTN MoMo,Phone Order,Completed,New
